age,monthly_income,monthly_savings,savings_rate,horizon_years,risk_appetite_encoded,existing_investments,dependents,income_stability,risk_category
48,170853,62417,0.365,16,1,542613,4,1,2
46,37669,11474,0.305,24,0,492290,3,1,0
60,426489,184961,0.434,12,1,728408,2,1,2
24,107945,51194,0.474,25,1,893155,1,1,4
60,159728,10741,0.067,22,2,294977,0,0,2
33,470357,214304,0.456,16,1,355734,4,1,3
43,108952,27115,0.249,19,1,221576,3,1,2
22,352221,45644,0.13,20,1,254084,2,1,4
27,41711,10097,0.242,29,1,808508,2,0,3
22,484249,255309,0.527,27,2,578366,0,0,4
65,52543,30975,0.59,19,2,403273,1,1,4
60,185229,16322,0.088,21,2,820449,0,1,3
56,421461,101950,0.242,19,1,769890,4,0,0
21,490555,173217,0.353,8,2,475958,3,1,3
60,107122,14308,0.134,21,1,83211,0,1,2
34,408348,179012,0.438,26,1,835358,3,0,2
43,497936,130813,0.263,16,0,137116,2,1,1
52,276017,88108,0.319,13,1,49892,1,0,0
37,145702,78527,0.539,16,0,749980,3,1,1
65,364787,203937,0.559,16,2,580985,3,1,3
32,200160,78177,0.391,3,0,722153,2,0,0
39,221466,111885,0.505,20,2,187223,4,1,4
49,225599,82108,0.364,27,1,957508,5,1,2
35,299778,130520,0.435,18,1,990391,1,1,4
54,370500,37642,0.102,3,2,305019,3,1,0
35,84377,48967,0.58,26,0,311207,0,1,2
29,79567,46170,0.58,10,2,281035,3,1,4
58,486246,254465,0.523,14,2,282566,4,1,2
36,365271,97254,0.266,17,0,667372,0,0,1
41,312104,92695,0.297,19,2,264837,1,1,4
38,359401,22939,0.064,18,0,524324,4,1,1
52,355740,65071,0.183,22,1,29873,0,0,1
39,66638,16268,0.244,12,0,896811,5,0,0
36,27887,5414,0.194,19,2,24918,1,1,4
20,230171,121566,0.528,3,2,209496,2,0,3
44,235859,51566,0.219,25,1,128279,0,1,3
23,346212,160021,0.462,21,0,575657,1,1,3
21,225383,34655,0.154,11,0,931697,4,1,1
44,301039,157281,0.522,21,0,242718,5,0,0
24,171969,68083,0.396,21,1,621839,2,1,4
23,39346,7282,0.185,9,0,61596,5,1,1
41,173048,67863,0.392,20,1,848292,4,1,2
34,278445,11869,0.043,19,0,982236,3,1,1
32,239601,39033,0.163,30,1,455209,2,0,2
35,40044,6068,0.152,24,2,137046,3,1,4
48,274043,15411,0.056,28,0,324888,3,0,0
36,185458,13562,0.073,9,2,106147,5,1,3
46,436663,95415,0.219,5,0,457141,1,1,0
46,274451,45581,0.166,7,0,219700,1,1,1
55,445658,251514,0.564,12,2,834082,2,0,2
20,449791,225868,0.502,20,1,114427,1,0,3
53,145607,23298,0.16,5,0,167071,0,0,0
45,206061,16244,0.079,3,2,366042,3,1,1
44,234772,32180,0.137,9,0,227561,4,1,0
35,255654,93919,0.367,17,2,924914,4,1,4
32,67800,34090,0.503,24,0,699023,4,1,1
31,333588,170341,0.511,21,2,40318,2,1,4
23,176640,71577,0.405,16,0,433855,2,1,3
56,210766,21924,0.104,22,0,557132,3,1,0
32,430275,28052,0.065,27,0,748870,4,0,0
46,214941,50210,0.234,1,1,632899,4,0,0
18,298504,88038,0.295,22,1,348405,4,1,3
39,313271,139268,0.445,17,0,180786,1,1,2
24,201417,114606,0.569,5,0,464952,4,1,1
29,331869,91134,0.275,21,0,586373,1,1,2
25,111080,19298,0.174,4,0,491422,4,1,1
59,204750,36323,0.177,29,1,480579,4,1,1
29,330112,162591,0.493,20,0,580069,5,1,1
33,307795,61974,0.201,14,2,781707,4,0,3
32,155004,15220,0.098,11,1,945712,4,0,1
59,354398,149854,0.423,29,0,516404,3,1,0
60,92746,50702,0.547,21,1,128259,4,1,1
19,321037,176714,0.55,18,0,812741,2,1,3
61,120804,67107,0.556,26,1,474706,2,1,2
40,440641,188400,0.428,9,0,333838,2,1,1
20,495749,254091,0.513,24,2,773164,2,0,4
64,140601,53542,0.381,26,2,113693,1,1,3
42,282463,95005,0.336,15,2,479336,0,0,3
18,464161,60609,0.131,19,1,848333,5,1,3
44,47676,28028,0.588,29,0,167995,2,1,2
42,149851,64622,0.431,8,2,860405,1,0,3
50,309445,43015,0.139,13,1,873250,2,1,1
28,69262,29665,0.428,27,0,695519,4,1,2
26,275416,141311,0.513,5,2,889856,3,1,4
61,180811,36969,0.204,2,0,778492,3,1,0
43,351529,110153,0.313,3,2,980869,2,0,2
27,84450,43428,0.514,15,2,111126,1,1,4
45,60985,21558,0.353,4,2,278849,2,0,2
45,390512,151075,0.387,19,0,449110,3,1,0
60,221610,98103,0.443,15,0,33717,1,1,1
54,24646,11945,0.485,1,1,346407,0,0,0
45,90729,20701,0.228,17,1,962114,3,1,2
58,58665,20957,0.357,6,0,848352,5,1,0
30,152698,68822,0.451,22,1,164714,4,1,3
52,369033,20250,0.055,8,2,177696,3,1,1
54,154511,90848,0.588,4,0,472919,4,1,0
61,265259,15360,0.058,17,1,724155,2,0,1
25,47209,14983,0.317,8,0,617542,5,1,1
40,239437,90757,0.379,15,1,802364,2,0,2
53,361954,50380,0.139,3,0,851118,2,1,0
31,292667,50530,0.173,22,1,980546,3,1,2
42,176629,84782,0.48,15,1,968212,5,1,3
30,201844,57104,0.283,17,2,351444,2,1,4
29,434399,176510,0.406,6,0,228495,1,0,1
59,414461,177083,0.427,20,1,966196,4,1,1
64,349095,137724,0.395,10,2,479198,4,0,1
49,141701,83047,0.586,20,1,384467,1,0,2
46,199420,24154,0.121,12,1,314731,1,1,2
31,186020,105264,0.566,8,1,465787,4,1,3
24,199354,96725,0.485,14,0,448032,3,0,0
65,460258,54116,0.118,24,1,940101,5,0,0
33,142058,67751,0.477,13,0,415941,0,1,2
55,284509,102662,0.361,13,2,824255,4,1,1
47,69396,36912,0.532,20,0,490913,3,0,0
35,253725,19456,0.077,21,1,824356,0,1,3
34,27432,11189,0.408,8,2,646052,2,1,4
43,221447,67509,0.305,22,1,948170,5,1,2
25,44578,14243,0.32,29,0,596822,1,1,2
22,271366,131794,0.486,26,2,74442,2,1,4
64,153726,38758,0.252,13,1,690288,4,1,0
33,63563,23361,0.368,24,1,520581,3,1,2
21,254295,97479,0.383,4,1,384474,3,0,1
31,428224,92638,0.216,21,2,457291,0,0,4
21,304243,145721,0.479,19,2,172109,5,1,4
31,377509,15985,0.042,8,1,981086,0,1,3
49,269072,47923,0.178,16,0,501854,2,1,1
40,164013,6669,0.041,25,2,903805,3,0,3
30,40323,6126,0.152,2,1,520766,5,1,0
25,476295,12904,0.027,2,2,120035,3,0,1
63,285237,29918,0.105,8,0,714166,2,1,0
46,391030,65695,0.168,2,2,156837,4,1,1
51,58057,5597,0.096,5,1,269289,5,0,0
42,82040,48132,0.587,17,0,457864,5,1,1
40,340067,172644,0.508,15,0,768821,5,0,0
39,423078,133391,0.315,28,0,858312,0,1,1
27,376362,119462,0.317,12,2,280141,2,1,4
18,482748,10695,0.022,29,2,800667,3,1,4
62,241968,118831,0.491,13,1,882143,4,0,0
32,147521,57805,0.392,17,0,901624,3,0,0
22,314614,174573,0.555,24,1,134288,0,1,4
47,257677,36126,0.14,10,2,515474,2,0,3
21,168051,38746,0.231,10,2,524344,1,1,4
43,419769,38525,0.092,19,0,44348,3,1,0
33,431893,219096,0.507,22,0,252299,1,1,2
35,282063,54323,0.193,9,2,352053,1,1,4
45,21049,9129,0.434,8,1,459567,2,0,2
34,470399,78277,0.166,14,2,582438,4,1,3
45,268399,156365,0.583,2,1,623756,3,0,0
39,383890,21191,0.055,24,2,796961,3,1,3
50,177048,68116,0.385,23,1,510559,4,1,1
22,135064,58365,0.432,5,2,421396,3,0,3
27,88247,30198,0.342,21,0,693875,3,1,1
51,499351,52003,0.104,3,2,429865,5,1,0
41,266160,57800,0.217,6,0,673400,4,0,0
64,432610,58871,0.136,1,2,296751,5,1,0
25,347222,139763,0.403,15,1,102652,5,1,3
65,56282,22143,0.393,23,0,994320,3,1,0
40,225229,15547,0.069,10,1,264603,0,1,2
44,211889,43247,0.204,28,1,559865,1,1,3
38,164535,30474,0.185,8,2,460221,0,0,3
59,378635,91569,0.242,20,0,984131,4,1,0
59,73806,5260,0.071,25,0,341115,4,1,0
52,134780,29016,0.215,27,2,517447,0,0,2
53,171174,6924,0.04,24,1,739818,0,0,1
65,89767,43796,0.488,16,2,530624,0,1,3
43,315863,47017,0.149,9,1,342135,2,0,1
27,432955,104704,0.242,30,1,110234,3,1,3
65,365922,140853,0.385,1,1,313694,3,1,0
63,110481,57802,0.523,30,1,680722,2,1,2
22,266281,159088,0.597,1,0,453503,2,1,1
52,141682,69325,0.489,8,1,250476,3,0,0
52,321251,62888,0.196,13,1,516754,2,1,1
58,454584,118922,0.262,3,2,37570,1,1,1
57,372389,108187,0.291,11,2,98580,3,1,2
39,407476,184693,0.453,18,2,785339,4,1,4
38,379949,167776,0.442,27,2,2526,3,0,3
55,97338,12896,0.132,8,1,706931,4,1,0
20,477481,227159,0.476,17,2,231946,4,1,4
25,165476,75022,0.453,16,2,836429,4,1,4
21,22019,8319,0.378,17,2,389027,5,1,4
65,39465,23664,0.6,4,0,458189,3,1,0
59,109342,24171,0.221,18,0,186764,5,1,0
22,478236,54477,0.114,6,2,295215,3,0,3
53,275392,81762,0.297,8,0,244413,1,1,0
21,431263,24748,0.057,6,2,317952,0,1,4
41,356564,164978,0.463,24,2,66896,2,1,4
33,77153,22412,0.29,18,2,885978,5,1,4
23,368274,76942,0.209,18,1,275877,0,1,3
22,241404,8188,0.034,6,1,883781,5,1,2
46,243674,47120,0.193,24,2,823513,2,1,4
33,59986,13559,0.226,11,1,590439,0,0,2
26,178651,95810,0.536,12,1,420615,1,1,4
55,314740,109087,0.347,24,2,811441,1,1,3
49,310911,21347,0.069,16,2,528551,1,0,3
63,87546,12377,0.141,13,2,655408,2,1,2
56,380256,78414,0.206,26,2,572403,2,1,3
54,406910,13888,0.034,27,1,221432,5,0,0
21,250487,134686,0.538,16,2,686505,2,0,4
27,113616,40285,0.355,30,1,950128,4,0,2
40,471813,133344,0.283,22,0,652307,0,0,1
30,182818,91785,0.502,16,1,157029,5,1,3
22,211799,52046,0.246,2,2,9759,0,1,3
37,251329,62732,0.25,18,2,916536,0,0,3
34,55183,7389,0.134,5,1,639791,5,1,1
37,81742,37360,0.457,26,1,841908,5,1,3
53,497959,108591,0.218,22,1,944143,2,1,2
48,260660,42594,0.163,17,0,683550,1,1,1
38,483395,206664,0.428,4,1,832643,0,1,2
39,349287,125623,0.36,30,0,855542,3,1,1
33,35748,11406,0.319,19,0,653576,1,0,1
27,421736,228023,0.541,3,1,937302,0,0,1
33,406868,190639,0.469,4,2,710419,4,0,3
56,271749,84233,0.31,11,2,537717,4,1,2
35,428117,93815,0.219,14,0,166052,5,1,1
55,493026,136940,0.278,12,2,212650,4,0,1
35,429470,39512,0.092,17,0,225226,3,1,1
59,221484,55603,0.251,15,2,887743,2,0,2
43,169068,73811,0.437,12,1,456036,0,1,3
65,269120,120016,0.446,14,2,992008,2,0,2
53,29695,16483,0.555,12,1,653009,3,0,0
64,383584,161610,0.421,27,1,711601,5,1,1
22,309884,68328,0.22,10,1,274025,4,1,2
47,64989,27106,0.417,12,1,975648,1,1,3
57,387808,74306,0.192,15,1,926592,2,0,1
39,37769,19481,0.516,15,0,308509,1,0,1
38,56303,24589,0.437,3,0,180394,4,0,0
44,336405,138909,0.413,24,0,872521,1,0,1
65,264497,49397,0.187,30,1,842388,5,0,0
51,491014,57284,0.117,9,0,824142,1,0,0
56,213529,123791,0.58,17,0,760151,4,1,0
55,70969,30208,0.426,24,2,961915,4,0,2
65,23192,11116,0.479,3,2,996114,5,1,1
62,226422,62801,0.277,3,0,314626,5,0,0
36,353735,93241,0.264,3,0,858407,1,0,0
52,496528,240572,0.485,5,2,290144,3,0,1
27,60910,11260,0.185,24,1,375982,1,1,3
53,445466,137994,0.31,9,1,578032,5,0,0
61,264826,42317,0.16,13,2,54604,2,0,2
64,256139,113957,0.445,27,2,734611,1,1,3
30,233328,72203,0.309,25,1,188691,3,1,2
31,433870,197386,0.455,1,1,567191,0,0,1
20,201644,63798,0.316,18,1,633556,1,1,4
60,399648,63215,0.158,15,0,955782,4,1,0
28,182812,12253,0.067,16,1,981835,0,1,3
39,219304,116504,0.531,6,1,5004,1,1,2
38,57170,15787,0.276,7,0,852362,3,1,0
22,77287,6645,0.086,5,1,640763,0,1,3
33,238171,55955,0.235,11,2,976446,3,1,3
33,394998,221746,0.561,5,0,43262,2,1,2
25,99397,16587,0.167,12,2,803032,4,0,3
30,497032,176206,0.355,12,0,988401,3,1,1
61,75746,24659,0.326,19,1,283453,0,0,1
26,144555,23830,0.165,2,2,863498,5,1,2
56,36738,7631,0.208,18,0,765034,1,0,0
48,224071,112917,0.504,7,0,484859,2,0,0
54,387019,226576,0.585,26,0,526683,1,1,1
26,275315,31924,0.116,2,0,257288,5,1,0
18,348699,94848,0.272,5,2,387554,3,0,2
42,23273,10110,0.434,7,1,3212,3,0,1
53,42007,20501,0.488,18,2,787071,1,1,3
32,106623,54500,0.511,10,0,215933,5,0,0
36,44220,16698,0.378,18,1,9387,0,1,3
56,270139,135752,0.503,5,1,697621,4,0,0
30,38240,22910,0.599,9,1,778559,2,1,3
29,268123,47816,0.178,21,0,51048,2,0,1
45,352870,163361,0.463,21,2,524333,5,1,4
23,247300,24455,0.099,9,1,465139,1,1,3
58,328260,125461,0.382,5,2,658764,4,0,1
36,311749,115879,0.372,22,1,645115,4,1,2
45,247257,101032,0.409,24,1,479389,0,1,3
65,429383,93754,0.218,16,0,727513,3,0,0
65,139894,70839,0.506,29,1,229303,1,1,2
30,488921,153188,0.313,9,1,480795,0,0,2
53,27176,14390,0.53,14,2,513611,4,1,2
33,491869,125403,0.255,24,2,990480,5,1,4
47,363288,197589,0.544,22,0,813819,2,1,2
57,125312,73860,0.589,25,1,748378,2,1,2
51,123976,29111,0.235,4,0,61600,1,0,0
47,126968,19892,0.157,16,2,24815,4,1,3
29,300412,119463,0.398,24,0,196599,3,0,0
45,316753,107785,0.34,25,2,547933,1,1,4
43,393587,159473,0.405,28,2,460665,1,1,4
62,216945,52024,0.24,27,1,272201,1,0,1
45,134587,43886,0.326,2,0,95149,4,1,0
32,70406,8688,0.123,5,2,901011,1,1,4
39,235838,50950,0.216,23,2,626627,3,1,3
65,143554,6439,0.045,15,1,478766,5,0,0
52,276349,114934,0.416,29,1,440187,0,1,2
49,133187,32684,0.245,16,1,733082,2,1,3
63,41832,21997,0.526,17,2,40491,3,1,3
25,129869,69442,0.535,2,2,367390,2,1,4
55,20244,5020,0.248,14,1,450953,1,1,1
51,227358,34583,0.152,9,0,935510,3,1,0
39,480767,15236,0.032,17,2,631615,1,1,4
60,176228,60904,0.346,20,1,278252,5,1,1
61,439136,190922,0.435,14,1,493406,2,1,1
22,329046,38043,0.116,24,1,845177,4,0,2
51,368114,29464,0.08,5,0,966289,3,0,0
62,111788,14487,0.13,22,0,682561,2,1,0
36,97228,20225,0.208,22,1,43021,3,1,2
44,198438,77322,0.39,15,0,569601,1,0,0
32,343854,100326,0.292,14,1,28365,5,1,2
34,467695,176955,0.378,28,0,269594,5,1,1
27,457744,220888,0.483,18,2,539745,4,1,4
64,414163,136094,0.329,9,2,163394,1,0,1
34,115148,57882,0.503,30,2,302094,2,1,4
23,166874,16167,0.097,21,2,600577,0,1,4
39,129367,70898,0.548,15,0,978301,1,1,2
24,377073,158535,0.42,24,0,800118,3,0,1
61,304931,150848,0.495,30,1,104887,1,0,1
49,47313,7586,0.16,24,0,476467,3,1,0
56,325204,22189,0.068,16,0,380815,3,1,0
52,295251,99182,0.336,18,2,279087,5,1,2
32,361376,190153,0.526,8,1,706584,1,0,2
47,42222,19258,0.456,21,2,864945,1,1,4
55,253127,146295,0.578,7,1,872811,0,1,1
64,312899,125926,0.402,25,0,476684,1,0,0
18,88835,9849,0.111,8,0,349738,3,1,1
60,461442,36335,0.079,20,2,744809,4,1,2
25,448170,142039,0.317,7,2,588759,4,1,4
30,233053,22878,0.098,29,1,448636,4,0,1
46,270481,59862,0.221,23,1,28004,4,0,1
58,29466,14137,0.48,13,0,146539,3,1,0
54,114791,36514,0.318,15,2,350434,5,1,2
18,344888,160418,0.465,7,1,600988,3,1,3
36,457509,197408,0.431,9,1,929700,2,1,3
19,227606,79474,0.349,17,0,764742,0,1,2
28,404325,183530,0.454,12,2,774756,0,0,4
44,376137,181978,0.484,5,1,42628,0,1,2
43,190458,108027,0.567,17,1,906644,0,1,3
42,443840,134240,0.302,8,0,912133,3,1,0
40,167722,31014,0.185,6,2,816460,3,1,3
34,286267,21603,0.075,22,1,718598,2,1,3
20,299837,173769,0.58,29,1,685352,1,0,3
38,250959,77240,0.308,21,2,449303,1,1,4
50,78390,7613,0.097,21,0,582093,5,1,0
35,137213,54979,0.401,26,0,584087,5,1,1
64,491659,248761,0.506,14,1,12875,3,0,0
58,423037,120256,0.284,26,0,160353,5,1,0
31,89918,21449,0.239,16,0,89142,3,0,0
20,309604,115373,0.373,6,2,18909,5,1,3
56,457538,132463,0.29,1,0,251981,5,1,0
33,170619,86662,0.508,1,1,234152,3,1,1
64,298626,38948,0.13,4,1,222322,3,0,0
39,121096,51612,0.426,15,2,84335,5,0,3
38,182491,70195,0.385,23,0,301286,0,1,1
51,104553,8890,0.085,9,0,17175,0,1,0
51,102762,34022,0.331,18,2,919163,5,0,1
56,220211,117076,0.532,13,0,395507,3,1,0
53,51276,26377,0.514,28,1,201750,3,1,1
53,66281,9595,0.145,27,2,261745,3,1,2
53,202394,51764,0.256,16,0,805837,2,1,0
56,476217,63282,0.133,4,2,591759,1,1,2
49,103205,13545,0.131,24,1,124698,2,1,3
27,398589,20945,0.053,2,1,341324,5,1,1
58,23052,13382,0.581,13,0,446605,4,1,0
50,489855,151246,0.309,19,1,27597,1,1,1
63,105687,58432,0.553,19,1,203570,5,1,1
44,317391,129403,0.408,25,2,780768,2,0,4
60,306788,43493,0.142,17,2,921463,1,1,3
35,97097,27578,0.284,20,0,514771,4,1,1
44,199022,100737,0.506,2,0,691349,2,1,0
26,415991,151900,0.365,9,1,804406,4,1,2
42,136249,57798,0.424,13,0,987982,0,1,1
45,145612,22177,0.152,28,2,824965,2,1,4
28,437876,191175,0.437,30,1,42082,2,1,4
55,472436,26797,0.057,8,2,883601,3,1,2
55,476123,7024,0.015,19,1,661944,4,1,1
20,426782,42822,0.1,21,2,880520,5,0,3
63,205715,27333,0.133,23,2,414170,3,1,2
62,169544,24336,0.144,20,0,237439,5,1,0
19,178169,96277,0.54,27,1,418401,3,1,3
24,432167,228176,0.528,2,0,576563,4,1,0
61,324592,166652,0.513,6,2,797051,5,1,2
26,490917,225172,0.459,27,1,569051,5,1,3
19,295001,97999,0.332,13,1,565745,0,1,3
51,499274,285444,0.572,14,1,119342,5,1,1
46,491982,199110,0.405,19,2,247688,4,1,4
45,144451,52475,0.363,18,0,71074,3,0,0
43,126759,26711,0.211,20,2,787718,1,1,4
29,149745,59583,0.398,14,2,111359,4,1,3
19,79263,23675,0.299,28,0,417896,5,1,1
18,475473,72804,0.153,1,0,211087,1,0,0
35,28981,9648,0.333,12,2,286552,1,1,4
27,303374,154752,0.51,7,0,691310,3,0,0
32,24329,11167,0.459,26,0,519897,5,1,2
26,414927,30801,0.074,24,1,614997,0,0,3
46,295536,138318,0.468,11,2,483419,2,1,4
23,435000,165744,0.381,27,0,158566,5,1,1
65,68737,19039,0.277,28,1,182075,1,0,1
29,498943,219838,0.441,28,1,451800,3,0,2
20,447776,20376,0.046,7,1,236591,5,1,2
33,414727,58233,0.14,15,2,443226,0,1,4
42,459705,105919,0.23,14,1,949453,0,0,1
37,23145,12802,0.553,24,1,57788,3,1,3
18,189598,50344,0.266,4,2,597640,4,1,3
30,143775,83743,0.582,11,2,579088,4,1,4
44,284531,137871,0.485,24,0,951399,2,0,1
38,481560,83591,0.174,22,1,266441,1,1,3
33,118752,10008,0.084,30,1,147892,4,1,3
57,401140,104252,0.26,9,0,11952,2,0,0
34,180448,71084,0.394,25,1,127129,1,1,3
54,487742,16467,0.034,3,1,973487,5,1,0
33,386099,152276,0.394,12,1,788525,1,1,3
42,104437,32433,0.311,26,1,377928,3,1,2
27,354741,139974,0.395,9,0,631359,4,1,1
56,35675,17693,0.496,26,0,351301,2,1,1
56,221974,31465,0.142,12,2,370283,5,1,1
42,273730,84637,0.309,5,1,572854,2,1,2
48,496908,175951,0.354,20,1,628705,3,0,1
21,298586,134576,0.451,6,0,10002,5,0,0
32,497698,250620,0.504,18,1,111119,5,0,2
32,135123,22223,0.164,2,0,4959,1,1,0
22,144125,32215,0.224,7,2,757553,1,1,4
58,140333,21772,0.155,11,0,311999,4,1,0
49,234051,30874,0.132,22,1,567607,0,0,2
35,495634,37735,0.076,14,1,723001,1,1,3
34,154278,61289,0.397,10,0,665428,2,1,1
21,49164,11642,0.237,18,0,757730,3,1,1
37,461815,256442,0.555,19,0,596033,4,0,0
65,104715,44968,0.429,9,0,506367,1,0,0
36,453879,23510,0.052,9,1,314326,3,1,1
61,31094,7407,0.238,21,0,232380,2,0,0
30,341165,67651,0.198,8,0,955902,5,1,1
31,173358,8599,0.05,2,1,277533,1,0,0
65,141164,11320,0.08,18,2,485910,1,1,3
37,276054,114762,0.416,8,2,812159,4,0,2
38,475899,147063,0.309,10,0,3881,4,1,0
19,470242,126649,0.269,27,2,492665,2,1,4
45,268765,9507,0.035,25,0,762186,2,1,1
63,465345,223339,0.48,2,1,52044,2,1,0
19,123038,51666,0.42,30,1,457183,1,1,4
39,417046,192216,0.461,22,2,152018,0,1,4
49,469657,41855,0.089,26,1,172922,3,1,2
26,383284,157383,0.411,12,0,379129,5,1,1
21,497982,199202,0.4,26,0,288152,4,1,1
32,201731,51840,0.257,9,2,300767,2,1,4
36,417306,50266,0.12,25,0,766441,2,1,1
20,471729,220192,0.467,11,1,900444,5,1,3
32,445737,246300,0.553,23,1,23027,4,1,3
40,78334,11787,0.15,20,0,420091,2,1,1
19,236899,140360,0.592,15,0,825440,5,1,2
36,285836,131745,0.461,12,1,753996,3,0,1
47,493599,19507,0.04,20,2,728229,2,1,4
58,399553,95918,0.24,9,0,531108,0,1,0
49,407335,175848,0.432,18,0,345564,0,1,2
53,238592,53022,0.222,8,0,899105,0,1,0
34,206085,115716,0.561,22,2,858468,1,0,4
19,150672,71836,0.477,4,2,733121,1,1,4
32,464819,85291,0.183,19,0,580294,5,0,0
62,267766,143997,0.538,4,0,620007,2,1,0
45,146998,27631,0.188,17,0,883590,0,1,1
32,296786,156511,0.527,20,1,417799,4,1,3
21,392429,206615,0.527,20,1,507704,5,1,3
45,251241,71912,0.286,16,2,58249,0,0,3
22,386731,76979,0.199,13,0,607199,4,1,1
38,332379,95546,0.287,21,2,211325,4,1,3
18,348779,28225,0.081,14,1,499264,5,1,2
38,35065,8550,0.244,26,1,910422,1,0,2
45,28816,7175,0.249,14,0,681014,0,1,1
24,192648,107548,0.558,16,2,671915,1,0,4
49,128750,36644,0.285,18,0,629443,0,0,1
20,391551,178257,0.455,8,1,90197,5,0,2
38,363090,184311,0.508,15,1,303374,0,1,3
59,428873,40059,0.093,29,2,102666,5,0,1
26,126734,39206,0.309,9,0,942054,5,1,1
65,56509,18881,0.334,22,2,849608,1,1,3
61,331294,93367,0.282,4,0,903,0,0,0
22,118993,42550,0.358,18,0,621828,5,1,1
35,200653,33702,0.168,6,2,795063,0,0,3
62,389562,76792,0.197,17,0,758961,5,1,0
34,164572,70841,0.43,26,1,706902,5,1,3
25,118706,11940,0.101,23,2,368543,1,0,4
18,336956,187572,0.557,3,2,885486,4,1,3
52,154405,45002,0.291,30,0,743048,3,1,0
45,188922,87172,0.461,6,2,467572,4,1,3
28,425486,212080,0.498,21,0,559863,5,1,2
42,39359,13698,0.348,25,0,467997,2,1,1
47,235886,61630,0.261,12,2,517196,5,1,3
65,400445,234414,0.585,15,0,530553,3,1,0
52,474555,200078,0.422,30,1,142957,1,0,1
37,117375,55469,0.473,29,1,820793,3,1,3
39,313076,6908,0.022,11,1,423574,4,0,0
58,232104,7928,0.034,7,0,32309,0,1,0
31,476339,154481,0.324,17,2,198573,4,1,4
25,394494,71404,0.181,16,1,954650,0,1,3
44,303728,20169,0.066,17,1,204830,4,1,2
58,388225,67497,0.174,19,2,663610,2,1,3
21,175964,64232,0.365,17,1,976729,1,0,3
48,372186,88098,0.237,16,1,930569,3,1,2
18,325434,90186,0.277,12,1,828424,4,1,2
54,280800,118065,0.42,17,2,931506,2,1,4
47,326489,98430,0.301,10,1,576131,2,1,2
32,349314,45878,0.131,6,0,169421,0,1,1
43,432379,195091,0.451,20,0,345741,5,1,1
29,95379,41945,0.44,12,1,593665,2,1,3
18,412508,102507,0.248,25,1,627358,1,0,3
29,44009,5094,0.116,13,0,183293,5,1,1
40,280243,25860,0.092,13,0,401702,1,1,1
44,402947,176150,0.437,5,1,972036,5,1,1
43,375139,20589,0.055,24,1,585128,0,1,3
41,435642,35982,0.083,9,2,290658,1,0,3
50,64845,20930,0.323,20,1,108417,4,1,1
50,109788,29003,0.264,27,0,838884,5,0,0
35,291984,45768,0.157,22,2,885054,1,1,4
54,199541,114554,0.574,5,1,249894,2,1,1
24,317560,77439,0.244,3,2,865756,1,0,2
49,367222,37294,0.102,9,0,417011,5,0,0
51,206444,75366,0.365,1,2,571675,0,1,1
45,395033,64486,0.163,17,0,422870,4,1,1
20,127772,9942,0.078,28,0,318249,3,1,1
34,156774,78883,0.503,6,0,170491,0,1,2
28,407127,39142,0.096,4,2,269537,3,0,2
47,29388,8411,0.286,29,1,560948,4,0,1
27,453384,138451,0.305,30,0,873778,0,0,1
39,310111,145820,0.47,1,0,941418,3,1,0
49,57049,32821,0.575,22,0,685305,0,1,2
40,245962,143241,0.582,2,1,528118,2,1,1
24,314563,21668,0.069,23,0,313456,1,1,2
62,172079,73079,0.425,2,1,316096,1,1,0
61,181545,12699,0.07,6,0,541729,4,1,0
59,38179,9849,0.258,7,2,533784,3,0,1
42,261871,148492,0.567,19,1,861465,0,1,3
56,248360,126075,0.508,14,2,736648,4,1,2
64,357044,31296,0.088,9,2,159964,1,0,2
23,84771,46258,0.546,29,1,99074,0,1,4
48,200934,116826,0.581,7,2,154525,2,0,3
46,309713,121787,0.393,22,1,701346,3,1,2
22,137922,45430,0.329,20,1,528446,4,1,3
41,156615,52924,0.338,13,1,954183,0,1,2
59,110141,65558,0.595,6,2,293812,0,1,3
51,270138,122219,0.452,27,0,529604,2,0,0
23,202235,19751,0.098,10,0,587453,0,1,1
39,86775,11566,0.133,22,1,920510,1,1,3
42,51139,19430,0.38,26,2,334796,1,1,4
49,368000,75043,0.204,16,1,344199,1,0,2
29,283672,132781,0.468,28,0,201657,0,0,1
25,358037,21167,0.059,24,2,481005,1,0,4
27,192370,23669,0.123,13,2,938447,1,1,4
46,401150,15832,0.039,10,2,145780,0,0,3
62,87963,40609,0.462,6,2,6563,3,1,2
20,216092,51861,0.24,17,0,809960,2,0,1
34,469794,194281,0.414,8,0,766913,1,0,1
26,231293,13724,0.059,29,2,999781,1,1,4
43,249176,7596,0.03,16,0,772427,1,1,1
40,97670,15782,0.162,19,2,84458,2,0,3
39,326505,43286,0.133,30,1,149388,3,1,2
40,120960,63465,0.525,2,2,130704,3,1,2
50,373656,144830,0.388,2,1,259188,4,1,0
29,490809,155716,0.317,28,2,481875,1,0,4
18,396330,9257,0.023,7,2,567476,4,1,4
38,330546,99467,0.301,13,1,115827,4,1,1
36,472400,203579,0.431,1,0,700948,5,1,0
56,212815,49518,0.233,17,0,518943,3,1,0
33,128177,30909,0.241,15,1,709697,0,1,3
40,475413,208114,0.438,13,2,672818,0,1,4
25,309006,163345,0.529,30,0,654511,4,1,2
