fund_category_encoded,horizon_years,risk_score,market_condition,expense_ratio,aum_category,sip_amount,age,pessimistic_return,base_return,optimistic_return
2,19,8.1,0,0.37,0,39632,60,7.12,10.54,14.59
5,25,9.6,0,1.49,1,46636,46,9.9,20.55,33.77
7,3,7.6,0,1.33,2,39367,61,3.77,13.92,31.44
0,29,8.3,2,1.73,1,42162,59,7.53,9.37,10.11
3,19,7.6,2,2.18,1,25018,34,10.97,14.08,19.63
2,12,2.2,1,1.95,2,22282,34,10.65,12.55,17.07
2,22,8.2,0,2.04,0,19656,62,5.59,10.88,15.4
2,28,8.8,2,2.19,1,26683,48,11.9,14.29,20.32
2,9,3.2,2,1.54,1,38785,45,12.53,15.88,18.19
6,4,8.4,0,0.95,0,5970,29,8.13,11.68,15.69
1,10,5.7,1,1.99,2,33585,58,5.49,7.2,8.93
5,2,8.6,1,2.06,0,8677,49,9.39,19.02,32.82
7,2,2.1,2,1.82,1,49976,49,12.5,17.96,25.62
3,25,8.0,1,2.13,2,39172,53,7.18,11.67,19.5
3,28,7.2,1,1.17,2,8918,29,9.79,13.74,22.27
0,25,7.8,0,0.1,0,10609,24,1.77,4.33,6.69
4,7,3.7,1,0.54,0,3285,33,13.66,16.75,26.87
1,22,6.7,2,1.65,0,26683,54,8.1,10.63,13.24
5,21,8.8,2,0.8,1,30786,59,13.79,27.7,39.49
4,9,3.4,0,1.66,0,19591,41,8.7,12.4,18.74
6,21,2.2,0,2.36,1,36904,32,6.74,10.81,17.48
4,20,6.9,1,1.77,2,11732,38,12.11,17.47,20.96
2,1,5.6,2,1.66,2,36212,42,13.79,15.53,17.04
5,29,9.5,1,0.85,1,27208,64,14.65,23.53,32.42
4,26,7.4,1,0.86,1,21250,33,11.05,20.43,28.53
5,27,8.4,1,1.47,1,11937,42,13.33,20.98,37.07
0,29,5.9,2,1.74,1,30992,33,7.3,9.47,11.44
7,6,2.8,0,0.88,0,3820,44,5.06,12.91,29.34
6,29,7.1,2,1.75,0,49934,63,11.43,17.53,22.9
5,29,3.9,0,1.98,1,13893,40,8.96,19.61,28.28
0,17,4.9,0,0.18,1,12892,64,2.04,4.84,6.05
1,3,9.8,2,1.65,1,48834,33,8.07,9.29,11.16
4,3,2.5,2,0.8,2,41756,59,15.07,21.28,25.86
7,4,5.9,0,2.37,0,20143,52,4.08,11.05,18.07
0,5,2.3,1,1.19,0,38759,54,4.85,6.7,8.17
4,4,7.1,2,0.14,0,21801,43,16.41,22.5,26.69
5,14,9.8,2,0.64,1,35810,37,12.74,25.11,37.51
3,3,6.2,1,2.35,1,28318,34,9.88,11.29,14.82
5,25,1.0,1,1.83,2,7033,59,9.28,20.81,33.91
2,18,6.4,1,0.14,1,32173,37,10.93,17.02,17.2
3,20,9.2,1,2.01,1,47160,48,6.95,11.75,19.06
4,30,1.8,1,2.46,1,21559,42,13.53,20.44,21.31
6,12,8.1,1,0.83,0,41517,59,11.88,15.54,20.99
6,3,10.0,1,1.62,0,17694,59,10.12,13.93,18.07
3,22,3.5,1,0.61,2,38255,47,10.73,12.65,19.43
5,19,5.7,1,1.9,0,41236,36,13.18,19.21,35.56
7,5,5.0,0,2.09,1,29304,39,6.51,10.57,22.99
7,1,2.2,1,2.3,1,14885,55,7.95,17.51,28.48
5,29,3.3,1,0.9,1,20890,29,12.63,23.01,27.48
4,23,3.0,2,1.22,0,46336,51,18.38,19.79,29.45
0,19,2.0,2,0.84,0,46390,28,7.8,9.98,12.93
7,3,5.8,2,1.74,1,528,52,11.83,16.62,26.4
0,19,4.0,2,2.5,2,2406,57,6.4,9.22,10.91
0,6,7.9,0,0.38,2,40797,23,2.5,3.64,5.13
1,20,2.9,2,2.0,1,19657,40,9.54,10.9,14.41
6,5,8.4,0,2.39,0,30215,55,6.56,8.55,15.68
2,1,5.8,0,2.19,0,21804,52,6.92,7.41,10.46
5,1,2.2,1,1.71,1,40295,29,10.55,17.1,33.93
7,15,5.0,1,0.14,1,15342,49,11.59,17.26,31.3
3,23,4.8,1,1.78,2,48360,31,9.67,10.44,15.75
1,14,5.8,1,2.14,2,38827,30,6.87,8.5,9.68
2,27,9.2,0,1.37,0,41143,27,6.1,12.75,15.85
6,17,1.3,2,1.41,1,29695,52,13.25,19.09,24.29
1,9,7.4,0,0.67,1,12890,50,3.09,4.41,8.52
0,14,7.1,2,0.95,1,24594,41,6.9,10.34,13.23
2,20,5.9,1,2.3,0,23254,25,9.81,14.55,17.9
6,19,2.4,2,1.7,0,35778,46,12.99,15.52,20.26
1,19,5.2,1,0.36,0,42622,54,7.05,8.85,10.04
2,21,7.5,2,0.18,0,33149,60,13.86,18.29,23.39
0,19,6.1,0,0.44,0,23995,34,1.98,3.89,6.64
4,2,3.9,2,1.32,2,19153,45,15.11,18.48,22.15
7,24,2.8,2,0.11,1,36363,18,14.02,19.71,38.33
1,3,7.9,1,0.72,1,7873,35,6.26,8.08,9.85
6,15,1.1,0,2.02,2,3483,45,7.06,11.03,13.77
0,7,5.4,0,1.43,2,46557,37,2.46,2.83,4.59
2,26,5.5,2,1.56,0,49885,42,12.5,14.88,19.36
7,10,4.6,2,0.19,0,2158,64,13.47,24.29,31.61
3,22,8.8,2,0.83,0,33646,47,11.79,17.48,23.81
0,15,8.6,2,2.08,2,20435,44,6.14,9.42,12.05
1,7,7.5,1,2.18,0,7990,63,5.3,6.45,8.15
0,14,4.4,1,1.31,1,29011,32,5.21,8.31,10.17
4,13,6.2,0,0.3,1,21094,30,10.06,14.15,17.15
0,17,1.3,2,1.03,2,10792,43,7.77,10.24,11.96
3,6,8.4,2,0.76,2,16299,50,11.2,16.75,21.52
1,8,9.6,1,2.37,2,16151,42,6.12,6.6,8.42
6,1,8.5,0,0.91,1,18240,38,7.02,12.99,15.72
6,7,7.6,2,2.48,2,3690,39,10.76,14.78,22.72
1,29,7.2,2,2.01,1,39431,33,6.61,10.96,11.4
0,4,1.4,2,1.05,0,10650,59,8.06,9.7,10.71
0,30,7.6,0,0.74,1,23442,60,0.87,5.26,6.62
6,9,9.6,0,1.37,1,44723,25,7.91,10.12,17.22
5,12,8.6,2,0.33,1,6961,40,16.01,22.76,37.96
1,17,3.4,1,2.38,1,47446,37,5.26,8.71,10.93
0,30,6.8,0,1.59,1,47807,38,1.11,3.83,5.32
7,8,3.4,2,1.12,0,33124,29,10.19,20.53,27.59
6,10,8.0,1,1.56,2,23038,26,8.71,14.67,21.23
7,1,8.6,2,0.32,0,30323,30,12.95,20.28,32.78
6,13,9.2,0,0.16,2,5562,55,6.56,13.34,17.26
1,7,9.3,2,1.71,0,15710,56,7.25,9.97,12.69
0,1,5.5,1,1.88,2,46912,54,4.57,4.59,7.46
6,14,7.8,0,2.22,0,33865,42,5.67,12.07,15.68
1,23,5.9,0,0.29,0,34337,33,3.96,5.06,8.15
2,1,9.2,1,0.31,1,39049,63,9.31,13.25,18.35
2,17,7.7,2,0.38,0,36254,34,11.83,17.74,23.0
1,10,3.3,1,2.26,2,3434,40,5.26,8.11,8.6
6,26,2.8,1,1.08,1,13526,59,13.37,17.24,19.08
1,7,4.9,2,1.7,1,12188,41,8.8,9.17,11.29
5,3,1.8,2,1.09,1,47001,64,15.79,21.13,27.44
1,8,6.3,2,0.7,1,16254,18,9.3,10.59,11.73
5,20,2.4,1,0.77,1,20247,22,10.81,25.97,37.21
5,26,1.4,1,1.67,0,48190,52,9.77,21.88,25.63
2,10,3.0,2,0.78,1,34707,43,13.88,16.55,19.12
6,7,4.4,0,1.08,1,4132,18,9.67,11.06,16.38
0,6,1.8,1,0.68,0,34051,18,6.02,7.43,8.5
5,30,1.2,0,2.41,1,49890,37,5.74,14.37,25.99
4,27,5.0,0,1.93,0,47578,27,10.78,15.76,16.83
0,23,1.8,2,2.41,2,45148,23,6.69,9.75,11.0
0,30,9.2,1,1.35,0,47426,25,4.93,7.09,10.59
7,19,3.6,1,0.14,2,30021,27,7.22,19.02,30.22
0,2,8.2,0,1.42,0,42749,37,2.09,2.5,3.82
0,2,1.5,2,1.61,2,35438,48,6.68,8.59,9.85
1,5,1.5,1,2.35,2,31484,39,5.77,6.26,9.22
1,16,7.1,0,0.8,1,22912,32,2.81,5.4,8.27
3,20,9.2,0,1.83,1,22157,47,5.51,9.67,14.39
5,4,3.0,2,2.28,0,38566,23,13.29,24.77,26.48
4,25,2.6,0,2.4,2,9372,30,9.85,13.56,18.15
5,22,7.9,0,1.94,0,17213,21,6.54,20.33,34.38
4,9,9.1,1,2.1,1,35733,48,11.68,13.46,23.42
2,8,1.3,2,1.93,2,30660,53,13.33,16.5,18.38
6,14,2.6,2,1.37,1,22050,47,14.82,18.86,23.09
4,29,4.6,0,1.78,1,28761,59,7.76,14.6,19.8
1,30,3.8,1,1.52,1,17776,65,4.67,7.88,10.75
2,15,1.2,1,0.68,2,43771,20,10.03,15.61,19.59
5,1,9.7,2,2.19,1,10506,31,13.25,27.83,34.29
0,22,3.6,0,1.9,0,12713,41,0.3,3.62,5.01
7,22,1.3,0,0.68,1,22105,31,6.82,16.53,26.28
0,27,7.0,2,2.09,2,35398,46,6.27,10.24,11.96
2,21,1.3,0,0.29,2,8499,34,8.0,12.74,17.98
4,15,1.4,1,1.58,2,28787,58,12.58,18.25,24.56
4,20,3.4,0,1.05,0,29297,42,9.68,16.79,22.47
4,5,3.7,2,1.26,1,20561,33,18.61,18.95,27.27
6,15,1.3,1,0.68,1,2902,40,11.28,15.8,20.15
0,4,6.2,0,1.44,0,48730,40,2.09,3.96,4.16
7,28,5.1,2,0.96,2,48856,46,10.78,20.77,36.72
3,15,1.6,1,1.69,1,4067,56,9.01,12.43,15.28
6,9,1.1,0,1.47,2,33376,57,8.61,12.15,15.12
0,25,3.9,2,1.91,1,32845,25,7.48,9.36,12.34
4,26,9.5,0,1.23,2,679,51,10.87,16.35,23.66
0,20,6.9,2,0.77,1,37555,32,8.7,9.6,12.08
3,29,7.3,0,1.57,0,28843,23,5.8,8.57,17.6
4,27,4.2,1,2.41,1,27499,35,12.44,17.6,22.07
6,3,6.3,0,0.45,1,25787,52,7.2,11.86,15.62
3,9,3.0,2,2.34,1,48966,64,10.47,13.47,17.89
7,2,2.5,0,1.32,1,17564,53,4.67,12.27,19.25
6,14,4.9,0,2.42,0,47676,59,5.82,12.7,15.74
6,28,5.3,2,1.77,1,25517,42,12.42,18.54,22.4
2,5,1.4,2,1.25,2,22891,21,14.0,17.72,17.8
6,26,7.5,0,1.99,2,5225,23,4.54,12.14,15.33
5,15,9.1,1,2.41,1,30259,24,8.9,18.63,35.23
0,30,8.7,0,2.38,0,6911,22,1.98,4.09,5.96
2,17,6.9,2,0.97,1,35243,34,13.01,17.54,22.7
7,11,4.3,1,1.7,1,13525,18,8.54,19.96,27.96
6,30,8.3,1,0.61,1,36882,44,9.31,15.29,22.18
0,13,2.2,2,1.19,1,45672,60,8.79,10.05,12.98
1,22,7.4,2,1.79,0,3999,53,7.95,10.13,12.81
2,2,5.7,2,1.11,0,18732,34,12.68,15.43,18.87
4,22,2.6,1,2.12,1,35557,28,12.62,19.09,23.14
4,11,8.3,0,2.25,1,10334,26,7.73,14.13,22.03
3,27,7.0,1,0.9,0,42116,56,9.82,14.75,15.65
4,17,1.8,1,1.58,2,47085,45,12.5,17.58,22.96
6,10,7.0,1,0.62,0,19117,48,12.29,17.23,19.63
0,23,2.5,0,0.38,0,12045,58,2.19,4.54,6.23
2,1,9.6,1,0.72,0,3337,31,10.77,12.22,20.04
6,1,3.6,0,0.19,2,38348,65,7.87,9.9,14.66
1,17,5.0,2,1.82,0,44244,51,7.86,11.01,12.11
5,28,8.8,0,0.27,0,22991,25,7.0,20.4,34.51
1,26,7.1,2,0.88,1,1684,50,7.63,11.14,15.12
0,3,3.9,1,1.31,2,25603,41,6.09,7.15,7.48
1,7,3.5,0,0.39,2,17299,38,2.67,4.14,6.38
1,9,2.5,1,1.2,0,31705,21,6.51,9.07,10.36
7,17,6.7,0,1.72,2,37536,21,5.23,17.96,27.36
3,11,9.3,0,2.07,1,20437,36,6.31,9.51,14.78
3,27,9.4,2,2.3,0,48099,36,11.31,14.28,21.98
2,1,1.7,1,2.37,0,8453,35,10.47,13.94,14.46
6,8,2.6,1,1.49,0,26245,56,10.21,14.58,17.03
3,29,3.9,0,2.32,2,28416,25,5.56,8.94,13.4
7,12,2.3,1,2.26,2,41294,53,7.24,18.18,32.15
4,29,7.8,0,1.33,0,40636,19,9.63,13.96,26.73
0,17,2.7,0,1.71,0,39452,24,1.79,3.23,5.15
4,13,2.6,2,2.22,2,709,53,16.13,21.8,30.86
2,15,5.3,0,1.3,1,7998,60,7.41,10.1,16.67
2,13,7.2,0,0.77,0,41976,54,5.79,11.33,19.09
5,4,5.3,2,2.12,0,30913,63,13.92,19.97,37.38
7,22,6.1,1,0.44,2,3268,60,11.28,16.36,32.16
6,6,6.1,1,0.6,1,41483,65,11.66,13.85,20.07
3,9,9.0,1,0.69,0,27297,39,9.39,13.76,18.79
4,25,9.8,1,0.78,2,31718,30,12.63,17.93,30.32
2,13,5.7,1,1.62,0,42287,64,10.58,14.89,19.46
3,1,4.9,2,2.34,0,41529,23,11.22,13.5,16.16
7,5,6.3,1,2.36,0,42718,60,9.07,21.15,28.71
2,30,9.4,2,0.91,0,10551,42,12.33,15.94,23.08
5,30,8.5,1,2.19,1,47382,30,8.64,22.97,37.42
7,18,2.1,0,0.83,0,27002,32,6.89,17.81,23.24
6,26,3.6,1,0.12,0,1231,49,10.73,16.41,20.64
7,11,7.7,2,1.57,2,5729,46,12.32,18.78,33.6
2,18,3.8,1,0.46,0,29930,52,11.19,14.91,21.93
6,21,9.0,1,0.88,2,2602,40,11.58,14.37,24.24
2,24,4.7,2,1.14,2,21540,49,12.29,16.65,21.73
6,12,9.7,1,0.29,2,33348,53,10.41,15.69,21.88
4,29,10.0,2,1.24,2,35555,27,15.34,18.82,29.68
2,7,1.7,2,0.24,2,31065,33,13.3,17.16,21.22
4,23,3.5,1,1.55,2,18573,54,13.41,18.72,23.49
4,17,9.3,0,0.14,0,34729,22,8.86,16.18,22.05
5,8,8.5,0,1.75,0,42175,28,6.81,14.65,24.34
0,18,1.9,1,0.83,2,23248,34,5.52,8.5,9.83
0,14,5.0,0,1.06,1,29299,25,1.99,4.62,6.94
2,20,6.3,0,0.65,1,23189,54,6.6,11.96,17.49
0,21,1.9,1,0.75,1,14333,44,5.72,8.02,9.71
6,3,5.2,2,1.15,2,47148,49,14.39,17.03,20.1
6,23,2.1,1,1.05,0,3544,58,10.6,14.71,20.97
2,2,7.4,1,1.75,2,20937,51,9.39,12.89,19.48
0,16,5.0,2,2.38,2,20281,27,7.15,9.41,10.52
1,11,3.9,2,0.3,0,16559,18,9.0,11.73,13.55
1,21,7.2,1,0.83,2,39453,34,6.32,9.29,11.66
5,25,8.1,2,1.61,2,46618,58,11.02,22.78,32.11
3,2,6.1,1,1.0,1,31031,26,10.12,11.14,15.36
1,6,6.0,0,0.15,2,14251,64,2.48,4.79,6.74
2,14,8.0,0,1.25,0,28242,58,8.13,10.21,16.14
4,27,6.6,1,0.58,2,17706,23,14.45,16.47,23.32
0,29,4.0,1,0.15,1,5892,54,5.25,7.97,10.6
7,24,6.1,1,0.11,0,18072,30,9.6,22.62,29.15
6,24,9.3,0,1.44,0,39203,37,5.94,13.27,21.09
4,22,2.5,0,2.25,0,8141,52,9.39,15.23,21.75
7,21,7.3,0,0.34,1,40197,52,6.18,16.19,22.17
4,3,2.9,0,0.2,2,8650,45,11.4,12.04,21.52
7,30,2.7,1,2.26,2,41670,27,9.87,17.12,31.53
5,11,1.6,1,2.23,1,2246,48,10.13,23.45,27.8
4,26,7.1,2,1.17,1,25751,45,13.97,20.55,33.08
4,7,5.3,1,1.8,2,11768,29,13.23,18.92,26.02
1,13,8.7,2,1.05,2,29046,42,9.25,12.09,13.47
7,9,5.0,1,0.61,0,42819,41,12.01,23.06,27.23
1,29,5.2,2,0.9,0,31276,43,9.99,11.85,13.34
6,16,8.3,2,0.34,0,1921,33,11.29,18.57,25.51
5,27,2.4,0,0.97,1,2760,21,9.39,18.29,32.33
0,29,4.9,1,1.56,1,12886,47,4.07,6.29,9.43
6,12,8.5,2,1.28,0,18271,63,12.16,18.06,27.76
2,4,6.3,2,0.76,2,18232,59,14.39,17.25,17.92
3,6,5.7,2,2.49,2,17610,44,10.7,14.14,19.21
2,5,5.3,1,0.13,2,30381,53,10.53,12.87,14.03
3,27,7.0,2,0.75,0,27680,58,12.37,14.93,19.94
1,7,9.1,0,1.77,2,48768,26,2.21,3.98,5.32
7,17,5.8,1,2.49,1,41690,44,10.0,23.3,25.89
5,1,8.0,2,2.39,1,33344,26,12.84,21.14,28.27
1,4,4.8,0,0.51,0,49910,61,3.4,4.73,6.89
5,29,2.0,1,2.42,0,41800,28,12.51,24.25,29.45
5,23,2.4,1,0.36,1,26044,44,14.73,26.0,34.33
0,10,3.9,0,0.78,0,35861,29,2.3,4.34,5.14
6,14,8.6,0,0.33,2,4432,62,6.3,11.21,17.81
1,4,7.9,0,1.69,2,10684,60,1.29,2.26,4.44
5,4,2.8,1,2.17,0,26809,60,10.96,21.04,26.35
2,9,2.0,2,1.21,2,5930,40,13.48,17.01,20.76
4,27,1.1,2,1.37,0,7732,20,15.59,21.58,29.62
0,22,7.2,0,1.27,1,9351,58,1.79,4.73,7.0
2,18,1.2,1,2.02,0,15110,64,8.81,15.67,18.2
2,15,9.0,1,2.09,0,40659,54,9.32,14.01,18.31
4,11,7.9,1,0.65,1,32469,51,13.32,19.39,29.7
1,3,9.8,2,0.19,2,4859,31,9.43,9.9,10.04
6,23,3.9,1,1.53,0,15503,36,9.43,13.79,19.51
5,18,6.3,1,0.31,0,5146,51,11.91,17.38,37.62
5,25,6.8,0,2.27,2,6729,47,5.84,20.24,28.8
2,10,8.6,2,1.36,0,6607,54,14.01,18.29,24.25
7,24,6.9,2,0.52,1,43251,25,13.01,20.91,36.47
7,13,6.3,2,1.11,1,25602,19,13.36,20.76,33.47
3,5,2.8,0,0.52,2,14269,20,6.15,8.28,11.13
4,30,5.7,0,0.7,2,7305,38,10.59,13.15,21.81
3,23,7.3,1,0.37,1,4827,31,7.85,13.62,19.72
2,15,5.2,0,0.38,2,19240,52,8.05,12.23,12.73
1,20,5.6,0,0.48,0,19654,61,2.1,5.92,9.22
5,14,7.9,1,0.39,0,21571,24,13.68,23.73,37.86
2,7,1.8,1,0.82,2,26153,55,9.61,13.39,16.42
7,19,4.7,2,0.12,1,32626,62,11.26,22.78,33.66
7,4,7.6,2,1.33,1,14956,49,9.51,22.66,31.12
6,5,1.6,1,1.59,2,40173,43,11.17,15.03,16.51
6,18,9.3,0,0.64,1,46968,56,8.7,10.7,16.09
4,14,6.3,1,2.35,0,47537,32,12.71,20.01,25.48
1,27,9.8,2,1.54,2,9915,31,8.19,10.29,12.05
3,20,4.3,2,2.19,0,43647,58,11.6,15.79,19.0
0,6,7.5,1,1.52,1,40396,40,4.85,5.34,7.58
5,18,6.8,0,1.75,0,35551,32,10.01,16.44,26.89
4,28,6.0,0,0.76,0,43850,41,10.52,16.91,23.73
7,18,4.1,1,0.74,2,24430,26,10.7,24.8,31.76
6,17,7.1,2,0.76,1,37200,37,11.23,18.13,27.46
4,11,7.8,1,1.43,2,18497,61,13.97,20.11,30.05
6,12,9.6,0,2.45,0,32423,49,7.72,12.73,17.97
0,16,3.7,0,1.3,2,39001,31,2.03,4.55,7.62
2,23,7.2,2,2.19,2,17479,36,12.49,14.64,21.65
1,26,4.3,0,0.15,1,10533,33,2.16,4.84,9.16
5,26,5.7,1,1.34,1,1315,60,9.74,20.93,32.1
6,3,9.3,0,2.05,2,19407,33,5.76,9.9,14.17
5,19,4.3,2,1.82,2,47298,50,13.48,24.73,32.39
1,13,2.2,0,2.15,2,28680,41,1.99,5.02,6.78
2,23,5.7,1,1.48,2,14934,56,11.83,14.12,18.04
4,25,7.5,2,1.79,2,19894,65,14.88,19.94,29.27
4,11,4.7,2,1.75,2,11780,21,16.42,20.89,27.52
1,23,3.9,0,0.96,1,36077,59,2.58,4.97,7.66
1,7,5.9,1,0.42,0,1591,62,5.48,7.6,9.03
1,9,2.0,1,1.95,0,22703,52,5.35,6.86,8.69
3,30,1.7,0,1.54,0,10445,32,5.87,8.73,11.13
5,26,7.1,1,1.2,2,13312,22,11.89,24.55,37.69
5,27,8.5,1,2.4,2,5281,50,10.68,24.68,31.35
0,21,2.5,2,1.75,2,48342,29,5.91,10.0,10.85
5,13,6.7,1,1.51,0,11456,53,13.29,24.67,31.85
0,25,5.3,2,1.92,2,44707,20,7.23,8.89,10.42
4,22,7.3,1,0.43,1,33426,63,12.54,20.68,28.45
6,28,2.9,1,0.89,1,24646,44,13.54,14.94,21.48
7,19,3.7,0,2.4,1,38913,43,6.46,17.34,22.38
0,15,10.0,0,1.33,0,40753,65,2.16,5.34,6.64
5,18,6.2,2,1.7,0,49977,55,13.12,20.89,30.45
2,8,1.6,1,0.43,1,2869,29,12.53,13.05,17.56
7,21,5.4,2,0.99,2,47520,44,11.57,23.29,32.43
5,17,9.8,2,0.6,1,14233,57,12.46,24.76,43.94
3,21,6.3,1,1.21,0,27566,42,9.53,14.29,17.48
0,21,4.6,2,0.37,1,1115,18,7.18,10.88,12.02
6,19,5.9,0,0.57,2,25509,64,9.23,12.94,16.69
1,15,1.7,2,0.69,2,3494,63,9.82,11.88,13.42
1,7,1.6,1,2.5,2,9388,44,6.15,6.25,9.59
6,16,4.6,2,0.81,2,2628,48,12.09,18.37,20.58
0,20,7.8,1,0.83,0,23296,20,5.79,6.88,11.06
4,30,1.3,2,1.6,1,14087,51,14.69,20.82,24.99
5,16,5.1,1,0.35,1,21923,40,15.24,18.54,33.82
5,20,8.1,1,0.45,2,29424,27,11.6,24.18,38.6
0,30,9.3,0,1.33,2,49667,39,2.2,4.55,5.33
4,16,4.6,0,0.77,0,4973,64,10.29,13.99,19.18
3,20,1.4,0,0.51,2,43249,22,5.25,10.77,12.76
2,18,9.6,1,2.33,0,48481,55,8.03,12.66,19.46
4,11,3.2,0,1.83,0,42985,59,8.7,16.09,21.4
4,12,9.8,1,2.47,0,44309,40,13.95,17.09,24.01
4,19,2.9,2,0.94,1,41647,22,15.06,20.5,29.65
4,1,2.0,1,1.32,1,37677,32,15.43,18.78,21.46
3,8,5.4,2,1.07,2,39476,48,12.72,14.7,18.99
2,26,9.6,1,0.91,2,25024,35,10.61,13.53,20.33
5,16,7.5,1,0.73,1,12049,38,11.77,22.45,34.6
1,4,5.4,1,0.47,0,39755,45,5.93,8.48,8.88
2,16,9.3,0,1.03,2,13574,31,6.07,10.1,19.97
4,23,3.5,0,2.35,0,30621,36,9.58,16.18,17.96
6,24,8.5,0,1.52,0,16792,40,6.05,13.17,18.12
6,10,9.1,2,1.64,1,46652,27,14.16,14.64,24.45
5,13,7.2,2,0.48,0,32471,19,14.72,22.59,33.24
0,4,3.8,0,2.41,1,11717,49,0.77,2.12,3.88
4,26,6.0,2,1.38,2,7060,24,14.89,21.42,29.08
5,12,5.1,1,1.3,1,30725,39,14.14,17.47,28.72
3,25,7.5,1,0.42,1,27173,65,9.03,12.59,21.98
5,16,2.1,2,1.9,1,22744,23,12.7,28.2,33.4
3,12,5.7,0,0.74,1,38195,31,6.85,8.73,15.56
2,26,7.9,1,0.75,1,21809,18,9.77,16.08,23.52
7,6,7.8,2,0.53,1,19556,60,10.33,20.53,39.41
5,7,1.3,2,0.36,0,39839,26,15.79,27.77,33.94
0,25,3.3,0,1.5,0,34833,37,1.33,5.28,6.58
5,9,2.8,1,1.72,0,3773,52,12.06,21.97,33.94
2,10,8.9,2,1.53,2,16973,21,11.44,15.89,22.88
6,19,9.8,2,1.24,0,11779,18,13.29,18.63,27.67
2,15,9.9,1,1.8,0,24424,34,8.47,15.6,18.71
5,15,9.5,0,0.29,2,17849,54,10.05,20.6,34.36
1,25,3.4,1,1.54,0,49866,42,5.0,8.9,11.13
5,22,9.4,2,1.72,1,22034,56,11.98,24.15,38.73
0,26,8.5,0,1.88,0,26274,31,0.38,4.1,5.75
5,20,2.5,2,2.28,1,20411,36,13.75,22.6,31.21
4,21,1.2,0,1.57,1,27982,52,9.52,14.69,23.28
0,1,9.8,1,0.11,2,46018,43,4.84,7.16,7.47
5,2,5.6,1,1.47,1,22182,64,11.07,24.94,28.05
6,5,8.1,2,1.51,0,23950,23,13.48,15.59,20.37
1,11,6.1,2,2.4,2,4188,54,7.89,11.3,11.85
2,4,6.2,2,0.85,2,37510,65,12.58,15.75,20.11
6,29,9.2,0,2.16,0,29989,54,5.31,12.31,18.81
2,12,1.5,0,2.23,0,44833,51,6.32,8.92,12.53
7,7,9.2,2,1.87,2,30083,58,9.34,21.09,26.01
2,2,9.1,0,2.4,2,10846,22,5.24,8.45,13.19
7,29,1.0,2,2.46,0,7111,22,12.13,20.44,26.63
5,2,9.2,0,0.72,2,18728,25,9.19,18.16,25.61
2,23,5.7,1,1.16,2,37282,50,11.44,14.2,19.26
5,14,1.2,0,1.1,2,29105,34,9.96,18.18,27.37
6,17,3.7,0,1.38,2,15957,25,9.68,11.58,17.06
0,3,3.9,0,1.21,0,22225,40,2.12,3.53,4.29
2,15,8.4,1,2.13,1,40463,24,9.09,12.8,18.77
0,30,8.4,1,1.46,2,16297,25,6.26,8.23,10.71
3,21,9.0,2,1.25,0,25839,33,11.4,15.75,22.86
2,16,5.7,2,1.72,2,14196,19,12.52,15.44,19.84
4,15,7.9,1,1.23,1,37019,19,12.66,20.25,25.06
3,3,8.6,2,1.11,0,47496,65,12.5,15.33,19.53
2,3,2.9,2,0.87,0,11495,58,13.27,16.31,17.11
0,6,7.1,2,1.47,0,16945,40,7.68,10.02,10.16
4,13,8.8,0,1.41,0,45924,62,8.35,16.21,24.54
2,6,9.7,2,0.93,0,24846,24,11.87,14.95,22.65
1,23,6.3,1,0.54,2,9438,34,6.61,9.16,11.49
0,26,3.8,1,2.05,2,28957,36,6.14,6.4,9.2
3,16,4.7,2,1.19,1,49607,42,12.34,15.51,19.46
5,23,5.7,1,2.22,2,24831,19,12.8,23.2,33.21
6,3,4.3,1,0.72,1,30492,35,10.45,11.92,17.94
0,21,2.7,0,1.8,2,10453,25,0.0,3.88,4.88
1,1,3.1,2,1.42,1,25965,30,8.22,9.84,11.26
5,12,4.2,1,1.07,1,7249,58,10.44,21.02,36.62
1,16,6.2,2,0.78,1,20123,42,9.33,10.62,14.39
3,7,8.9,2,2.4,0,20628,31,11.08,16.64,20.34
0,15,2.2,2,1.28,1,6837,46,7.62,11.02,12.6
5,9,4.1,2,0.57,1,27976,38,15.02,24.97,31.96
1,10,4.0,0,1.65,0,47129,61,2.09,4.0,5.59
3,22,1.4,2,2.18,2,4103,30,11.27,15.53,20.65
2,6,2.7,1,1.25,1,45352,58,10.17,13.29,19.19
3,4,9.0,0,1.71,0,34453,39,3.2,7.07,13.69
7,6,9.8,1,1.82,2,11212,63,8.3,19.7,30.87
4,6,1.2,0,1.12,0,7740,25,10.18,12.15,19.83
1,30,8.7,0,0.42,2,38697,43,3.51,4.41,7.6
2,7,7.9,2,0.3,0,4459,25,13.02,16.55,20.26
7,2,6.3,2,0.18,0,46391,58,11.99,24.0,24.58
7,24,3.3,0,1.43,2,40864,26,8.17,15.45,24.48
5,12,7.4,1,0.17,0,27695,55,13.4,21.61,34.3
0,19,9.6,2,1.25,1,7870,65,8.51,10.71,12.64
4,23,4.9,2,1.48,2,21454,56,15.26,20.94,28.76
1,20,1.1,2,0.32,1,1481,62,8.71,11.01,13.54
2,6,2.7,0,0.75,2,26335,65,6.46,9.42,15.01
3,17,3.9,2,2.03,2,4049,23,11.4,15.78,18.89
3,2,1.5,0,0.61,0,14705,18,7.05,9.15,11.32
